Index,Artist Name,Track Name,Release Date,Danceability,Energy,Key,Loudness,Mode,Speechiness,Accousticness,Instrumentalness,Liveness,Valence,Tempo,Duration MS,Time Signature
169,Júníus Meyvant,Pearl in Sandbox,2016-07-08,0.595,0.0626,8,-21.945,1,0.0452,0.917,0.0765,0.0987,0.259,126.337,403693,4
170,Lana Del Rey,Dark Paradise,2012-01-01,0.6,0.653,1,-8.309,0,0.0594,0.0953,0,0.122,0.43,119.994,243187,4
171,The Fray,Look After You,2005-09-13,0.447,0.592,6,-3.015,0,0.0319,0.0575,4.47e-06,0.13,0.283,78.039,266773,4
172,Mother's Daughter,Small Town Boy,2019-02-01,0.304,0.183,3,-11.836,1,0.0321,0.893,7.71e-05,0.0927,0.296,115.712,218085,4
173,Avril Lavigne,Wish You Were Here,2011-03-04,0.456,0.862,4,-3.818,1,0.05,0.0337,0,0.172,0.337,165.991,225680,4
174,Cat Power,Metal Heart,1998-09-22,0.439,0.337,6,-11.212,1,0.0276,0.873,0.0848,0.109,0.0493,115.244,242400,4
175,Howie Day,Collide,2003-10-07,0.636,0.625,11,-7.895,1,0.0277,0.222,5.35e-05,0.119,0.342,93.931,249120,4
176,The Script,The Man Who Can't Be Moved,2008-07-14,0.605,0.629,10,-5.051,1,0.0279,0.437,0,0.097,0.308,99.894,241373,4
177,Kodaline,Brother,2017-07-01,0.493,0.636,10,-5.894,1,0.049,0.341,0,0.201,0.228,120.136,201980,4
178,Lewis Capaldi,Someone You Loved,2018-11-08,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,182161,4
179,The Mistrals,7 Rings - Acoustic Version,2019-02-15,0.554,0.293,8,-9.789,0,0.0411,0.832,0,0.108,0.592,100.116,191311,4
180,Shawn Mendes,Mercy - Acoustic Guitar,2017-01-27,0.622,0.346,11,-6.522,0,0.0311,0.747,0,0.113,0.428,144.069,221200,4
181,Christina Perri,Jar of Hearts,2011-05-10,0.349,0.348,3,-6.142,1,0.0316,0.726,0,0.12,0.0886,74.541,246587,4
